date,prize,num_competition,submission,isHoliday,사용자,세션,신규방문자,페이지뷰
2018-09-09,850.0,1.0,71.0,1,281,266,73,1826
2018-09-10,850.0,1.0,74.0,0,264,247,51,2092
2018-09-11,850.0,1.5,94.0,0,329,310,58,1998
2018-09-12,850.0,1.5,93.0,0,300,287,45,2595
2018-09-13,850.0,1.5,94.0,0,378,344,50,3845
2018-09-14,0.0,0.0,19.0,0,343,317,57,3283
2018-09-15,350.0,1.0,34.0,1,210,202,40,1384
2018-09-16,350.0,1.0,38.0,1,202,196,30,1472
2018-09-17,350.0,1.0,52.0,0,331,302,69,3088
2018-09-18,350.0,1.0,59.0,0,333,313,72,2667
2018-09-19,350.0,1.0,50.0,0,241,220,37,1592
2018-09-20,350.0,1.0,55.0,0,292,283,88,1495
2018-09-21,350.0,1.0,57.0,0,208,197,51,1527
2018-09-22,350.0,1.0,46.0,1,194,184,65,955
2018-09-23,350.0,1.0,30.0,1,161,156,36,1042
2018-09-24,350.0,1.0,35.0,1,121,107,19,666
2018-09-25,350.0,1.0,28.0,1,112,111,15,524
2018-09-26,350.0,1.0,47.0,1,161,155,22,1046
2018-09-27,350.0,1.0,41.0,0,177,168,43,983
2018-09-28,350.0,1.0,33.0,0,123,118,33,654
2018-09-29,350.0,1.0,18.0,1,99,95,25,378
2018-09-30,350.0,1.0,21.0,1,121,117,60,431
2018-10-01,350.0,1.0,11.0,0,111,110,35,409
2018-10-02,350.0,1.0,10.0,0,102,95,27,468
2018-10-03,350.0,1.0,10.0,1,87,84,32,384
2018-10-04,350.0,1.0,16.0,0,84,78,27,474
2018-10-05,350.0,1.0,24.0,0,123,117,38,839
2018-10-06,350.0,1.0,8.0,1,78,75,22,341
2018-10-07,350.0,1.0,8.0,1,100,97,52,481
2018-10-08,350.0,1.0,5.0,0,69,68,24,245
2018-10-09,350.0,1.0,3.0,1,54,54,23,215
2018-10-10,350.0,1.0,12.0,0,91,85,29,550
2018-10-11,350.0,1.5,18.0,0,78,74,21,481
2018-10-12,350.0,1.5,18.0,0,102,99,34,470
2018-10-13,350.0,1.5,24.0,1,106,102,23,677
2018-10-14,0.0,0.0,3.0,1,170,163,24,1021
2018-10-15,0.0,0.0,0.0,0,229,227,55,1427
2018-10-16,0.0,0.0,1.0,0,189,183,69,1813
2018-10-17,0.0,0.0,7.0,0,623,618,369,3896
2018-10-18,1000.0,1.0,3.0,0,258,257,116,1394
2018-10-19,1000.0,1.0,9.0,0,208,207,80,1198
2018-10-20,1000.0,1.0,8.0,1,168,166,72,792
2018-10-21,1000.0,1.0,4.0,1,162,164,54,1347
2018-10-22,1000.0,1.0,4.0,0,182,195,65,1255
2018-10-23,1000.0,1.0,10.0,0,210,230,95,1275
2018-10-24,1000.0,1.0,14.0,0,163,166,63,767
2018-10-25,1000.0,1.0,10.0,0,138,146,37,736
2018-10-26,1000.0,1.0,13.0,0,143,152,34,811
2018-10-27,1000.0,1.0,11.0,1,72,71,18,335
2018-10-28,1000.0,1.0,15.0,1,88,88,19,538
2018-10-29,1000.0,1.0,12.0,0,127,133,25,1304
2018-10-30,1000.0,1.0,24.0,0,147,150,36,1130
2018-10-31,1000.0,1.0,23.0,0,161,158,27,1126
2018-11-01,1000.0,1.0,19.0,0,112,118,22,748
2018-11-02,1000.0,1.0,23.0,0,119,124,19,867
2018-11-03,1000.0,1.0,13.0,1,69,71,17,352
2018-11-04,1000.0,1.0,30.0,1,94,97,11,730
2018-11-05,1000.0,1.0,13.0,0,125,121,25,1116
2018-11-06,1000.0,1.0,12.0,0,152,151,35,1427
2018-11-07,1000.0,1.0,16.0,0,118,113,29,797
2018-11-08,1000.0,1.0,3.0,0,133,133,47,750
2018-11-09,1000.0,1.0,14.0,0,132,131,39,934
2018-11-10,1000.0,1.0,13.0,1,132,127,60,981
2018-11-11,1000.0,1.0,6.0,1,142,136,56,1445
2018-11-12,1000.0,1.0,8.0,0,369,386,197,3402
2018-11-13,1800.0,2.0,12.0,0,415,432,179,3226
2018-11-14,1800.0,2.0,14.0,0,399,417,196,2475
2018-11-15,1800.0,2.0,16.0,0,279,288,120,1821
2018-11-16,1800.0,2.0,17.0,0,307,317,162,1798
2018-11-17,1800.0,2.0,14.0,1,354,360,204,2378
2018-11-18,1800.0,2.0,29.0,1,174,175,59,1663
2018-11-19,1800.0,2.0,31.0,0,301,308,112,2630
2018-11-20,1800.0,2.0,35.0,0,331,336,156,1968
2018-11-21,1800.0,2.0,27.0,0,225,231,62,1986
2018-11-22,1800.0,2.0,44.0,0,280,278,107,2553
2018-11-23,1800.0,2.0,36.0,0,221,226,49,2019
2018-11-24,1800.0,2.0,27.0,1,149,153,41,1372
2018-11-25,1800.0,2.0,31.0,1,166,172,50,1169
2018-11-26,1800.0,2.0,34.0,0,275,279,86,2139
2018-11-27,1800.0,2.0,53.0,0,326,323,123,2668
2018-11-28,1800.0,2.0,57.0,0,335,336,135,2498
2018-11-29,1800.0,2.0,44.0,0,247,251,67,1770
2018-11-30,1800.0,2.0,47.0,0,186,192,56,1465
2018-12-01,1800.0,2.0,25.0,1,131,127,34,1093
2018-12-02,1800.0,2.0,25.0,1,151,143,44,1081
2018-12-03,1800.0,2.0,39.0,0,258,269,76,2536
2018-12-04,1800.0,2.0,52.0,0,311,303,91,2765
2018-12-05,1800.0,2.0,43.0,0,264,260,64,2881
2018-12-06,1800.0,2.0,40.0,0,215,213,47,1995
2018-12-07,1800.0,2.0,38.0,0,223,223,47,2281
2018-12-08,1800.0,2.0,42.0,1,192,191,40,1565
2018-12-09,1800.0,2.0,44.0,1,162,157,39,1553
2018-12-10,1800.0,2.0,58.0,0,286,274,56,2729
2018-12-11,1800.0,2.0,46.0,0,249,247,51,1894
2018-12-12,1800.0,2.0,59.0,0,235,237,52,1967
2018-12-13,1800.0,2.0,42.0,0,249,233,60,1928
2018-12-14,1800.0,2.0,40.0,0,257,241,85,1878
2018-12-15,1800.0,2.0,31.0,1,146,147,31,1048
2018-12-16,1800.0,2.0,63.0,1,186,181,45,1644
2018-12-17,1800.0,2.0,85.0,0,286,281,64,2803
2018-12-18,1800.0,2.0,68.0,0,240,245,49,2088
2018-12-19,1800.0,2.0,70.0,0,252,251,74,2493
2018-12-20,1800.0,2.0,44.0,0,232,233,62,1997
2018-12-21,1800.0,2.0,41.0,0,248,249,51,2343
2018-12-22,1800.0,2.0,31.0,1,229,236,97,1694
2018-12-23,1800.0,2.0,41.0,1,322,319,134,2188
2018-12-24,1800.0,2.0,57.0,0,294,299,101,2811
2018-12-25,1900.0,3.0,43.0,0,197,183,53,5704
2018-12-26,1900.0,3.0,59.0,0,346,344,104,5438
2018-12-27,1900.0,3.0,65.0,0,296,315,108,2291
2018-12-28,1900.0,3.0,44.0,0,269,262,85,2183
2018-12-29,1900.0,3.5,33.0,1,203,204,59,1429
2018-12-30,1900.0,3.5,49.0,1,176,170,32,1437
2018-12-31,1900.0,3.5,43.0,0,216,219,42,1881
2019-01-01,900.0,2.0,13.0,0,124,122,21,736
2019-01-02,900.0,2.0,15.0,0,278,287,79,2550
2019-01-03,900.0,2.0,23.0,0,490,512,269,3961
2019-01-04,900.0,2.0,19.0,0,418,420,216,3218
2019-01-05,900.0,2.0,18.0,1,190,196,64,1960
2019-01-06,900.0,2.0,18.0,1,167,174,45,1504
2019-01-07,900.0,2.0,16.0,0,299,301,81,2311
2019-01-08,900.0,2.5,23.0,0,322,326,111,2512
2019-01-09,900.0,2.5,25.0,0,295,295,82,2380
2019-01-10,900.0,2.5,18.0,0,371,359,92,3624
2019-01-11,800.0,1.0,23.0,0,274,268,65,2217
2019-01-12,800.0,1.0,18.0,1,179,176,43,1563
2019-01-13,800.0,1.0,35.0,1,195,197,46,1431
2019-01-14,800.0,1.0,34.0,0,282,287,71,2008
2019-01-15,800.0,1.0,49.0,0,316,303,81,2719
2019-01-16,800.0,1.0,40.0,0,258,261,75,1853
2019-01-17,800.0,1.0,41.0,0,267,277,59,2141
2019-01-18,800.0,1.0,37.0,0,257,261,66,1841
2019-01-19,800.0,1.0,30.0,1,179,178,28,1472
2019-01-20,800.0,1.0,33.0,1,190,185,26,1474
2019-01-21,800.0,1.0,36.0,0,301,307,65,2093
2019-01-22,800.0,1.0,47.0,0,280,282,66,1788
2019-01-23,800.0,1.0,43.0,0,227,211,35,1912
2019-01-24,800.0,1.0,51.0,0,256,252,63,2096
2019-01-25,800.0,1.0,35.0,0,455,450,198,3187
2019-01-26,800.0,1.0,38.0,1,214,216,48,1389
2019-01-27,800.0,1.0,34.0,1,256,244,53,2185
2019-01-28,800.0,1.0,53.0,0,515,509,141,3863
2019-01-29,800.0,1.5,48.0,0,461,455,137,3647
2019-01-30,800.0,1.5,64.0,0,498,484,94,4423
2019-01-31,800.0,1.5,88.0,0,560,532,85,5415
2019-02-01,0.0,0.0,11.0,0,271,273,68,1695
2019-02-02,0.0,0.0,0.0,1,237,240,100,1262
2019-02-03,0.0,0.0,1.0,1,116,109,32,1180
2019-02-04,0.0,0.0,2.0,1,120,117,30,788
2019-02-05,200.0,1.0,0.0,1,96,92,24,469
2019-02-06,200.0,1.0,0.0,1,169,164,54,2499
2019-02-07,200.0,1.0,0.0,0,184,175,40,1982
2019-02-08,1000.0,2.0,2.0,0,911,991,502,5733
2019-02-09,1000.0,2.0,2.0,1,585,624,387,2982
2019-02-10,1000.0,2.0,2.0,1,751,817,533,3919
2019-02-11,1000.0,2.0,0.0,0,630,709,377,4057
2019-02-12,1000.0,2.0,2.0,0,333,383,130,2454
2019-02-13,1000.0,2.0,7.0,0,343,364,145,1992
2019-02-14,1000.0,2.0,7.0,0,339,379,131,2516
2019-02-15,1000.0,2.0,21.0,0,483,546,247,3828
2019-02-16,1000.0,2.0,8.0,1,261,273,97,1932
2019-02-17,1000.0,2.0,5.0,1,248,241,63,1687
2019-02-18,1000.0,2.0,6.0,0,323,334,95,2862
2019-02-19,1000.0,2.0,13.0,0,241,258,74,1590
2019-02-20,1000.0,2.0,3.0,0,259,259,82,1818
2019-02-21,1000.0,2.0,9.0,0,209,206,61,1407
2019-02-22,1000.0,2.0,4.0,0,193,193,65,2034
2019-02-23,1000.0,2.0,1.0,1,163,160,57,1052
2019-02-24,1000.0,2.0,0.0,1,123,124,35,975
2019-02-25,1000.0,2.0,0.0,0,226,221,62,1925
2019-02-26,1000.0,2.0,0.0,0,239,242,70,1710
2019-02-27,1000.0,2.0,1.0,0,202,201,51,1408
2019-02-28,1000.0,2.0,0.0,0,183,177,61,909
2019-03-01,1000.0,2.0,0.0,0,138,141,39,882
2019-03-02,1000.0,2.0,0.0,1,105,117,31,679
2019-03-03,1000.0,2.0,0.0,1,116,111,31,2032
2019-03-04,1000.0,2.0,0.0,0,252,253,73,2153
2019-03-05,1000.0,2.0,0.0,0,202,208,74,1254
2019-03-06,1000.0,2.0,0.0,0,358,375,180,1809
2019-03-07,1000.0,2.0,1.0,0,344,370,138,2129
2019-03-08,1000.0,2.0,0.0,0,241,253,92,1382
2019-03-09,1000.0,2.0,0.0,1,209,226,89,1269
2019-03-10,1000.0,2.0,0.0,1,141,142,31,732
2019-03-11,1000.0,2.0,0.0,0,277,278,77,1445
2019-03-12,1000.0,2.0,0.0,0,259,265,76,1347
2019-03-13,1000.0,2.0,0.0,0,214,208,67,1142
2019-03-14,1000.0,2.0,0.0,0,244,250,62,1919
2019-03-15,1000.0,2.0,0.0,0,244,235,74,2996
2019-03-16,1000.0,2.0,0.0,1,193,203,87,939
2019-03-17,1000.0,2.0,0.0,1,115,119,37,583
2019-03-18,1000.0,2.0,0.0,0,252,247,84,1395
2019-03-19,1000.0,2.0,3.0,0,321,321,131,2092
2019-03-20,1000.0,2.0,0.0,0,266,272,78,2090
2019-03-21,1000.0,2.0,1.0,0,265,279,93,1619
2019-03-22,1000.0,2.0,0.0,0,176,176,62,919
2019-03-23,1000.0,2.0,0.0,1,215,219,94,1303
2019-03-24,1000.0,2.0,0.0,1,201,208,55,1509
2019-03-25,1000.0,2.0,3.0,0,294,299,88,2860
2019-03-26,1200.0,3.0,3.0,0,341,328,107,2482
2019-03-27,1200.0,3.0,19.0,0,538,552,202,4338
2019-03-28,1200.0,3.0,16.0,0,567,592,166,4043
2019-03-29,1200.0,3.0,26.0,0,434,431,105,4557
2019-03-30,1200.0,3.0,53.0,1,743,731,260,5832
2019-03-31,1200.0,3.0,84.0,1,715,732,141,6937
2019-04-01,1200.0,3.0,1.0,0,558,561,150,4048
2019-04-02,1200.0,3.0,0.0,0,350,344,100,1898
2019-04-03,1200.0,3.0,0.0,0,376,384,80,2666
2019-04-04,1200.0,3.0,0.0,0,316,316,92,1790
2019-04-05,1200.0,3.0,0.0,0,365,362,93,2438
2019-04-06,1200.0,3.0,0.0,1,230,228,31,941
2019-04-07,1200.0,3.0,0.0,1,275,270,77,1347
2019-04-08,1200.0,3.0,0.0,0,462,456,173,2423
2019-04-09,1200.0,3.0,0.0,0,290,288,93,1375
2019-04-10,1200.0,3.0,0.0,0,277,280,86,1382
2019-04-11,1200.0,3.0,0.0,0,276,282,94,1453
2019-04-12,1200.0,3.0,0.0,0,210,210,57,1063
2019-04-13,1200.0,3.0,0.0,1,160,162,39,729
2019-04-14,1200.0,3.0,0.0,1,158,161,37,701
2019-04-15,1200.0,3.0,0.0,0,234,233,70,1424
2019-04-16,1200.0,3.0,0.0,0,196,194,60,939
2019-04-17,1200.0,3.0,0.0,0,191,193,45,1140
2019-04-18,1200.0,3.0,0.0,0,180,184,40,686
2019-04-19,1200.0,3.0,0.0,0,181,180,51,1560
2019-04-20,1200.0,3.0,0.0,1,148,144,25,1106
2019-04-21,1200.0,3.0,0.0,1,229,236,74,1730
2019-04-22,1200.0,3.0,0.0,0,248,245,62,1936
2019-04-23,1200.0,3.0,0.0,0,322,324,151,2430
2019-04-24,1200.0,3.0,0.0,0,226,228,67,1736
2019-04-25,1200.0,3.0,0.0,0,173,174,45,1524
2019-04-26,1200.0,3.0,0.0,0,166,163,37,1386
2019-04-27,1200.0,3.0,0.0,1,263,323,80,3998
2019-04-28,1200.0,3.0,0.0,1,159,167,31,2243
2019-04-29,1200.0,3.0,0.0,0,248,260,78,3539
2019-04-30,1200.0,3.0,0.0,0,844,906,465,8674
2019-05-01,1200.0,3.0,9.0,0,590,632,309,7216
2019-05-02,1200.0,3.0,6.0,0,453,482,151,5381
2019-05-03,1200.0,3.0,37.0,0,490,519,181,6995
2019-05-04,1200.0,3.0,48.0,1,481,496,170,6076
2019-05-05,1200.0,3.0,30.0,1,348,347,119,4805
2019-05-06,2200.0,4.0,30.0,1,357,368,81,5052
2019-05-07,2200.0,4.0,55.0,0,475,485,138,5635
2019-05-08,2200.0,4.0,63.0,0,1596,1604,820,15516
2019-05-09,2200.0,4.0,43.0,0,1135,1147,588,10778
2019-05-10,2200.0,4.0,47.0,0,753,759,334,7057
2019-05-11,2200.0,4.0,72.0,1,573,588,224,5691
2019-05-12,2200.0,4.0,109.0,1,516,526,160,5799
2019-05-13,2200.0,4.0,80.0,0,773,787,300,7706
2019-05-14,2200.0,4.0,90.0,0,705,732,270,7867
2019-05-15,2200.0,4.0,76.0,0,692,708,270,7536
2019-05-16,2200.0,4.0,69.0,0,748,760,283,7357
2019-05-17,2200.0,4.0,79.0,0,567,565,201,6013
2019-05-18,2200.0,4.5,95.0,1,390,399,118,4178
2019-05-19,2200.0,4.5,113.0,1,431,441,125,4592
2019-05-20,2200.0,4.5,88.0,0,574,574,192,6661
2019-05-21,2000.0,3.0,78.0,0,488,504,160,5463
2019-05-22,2000.0,3.0,60.0,0,615,635,231,6603
2019-05-23,2000.0,3.0,109.0,0,508,505,166,5154
2019-05-24,2000.0,3.0,200.0,0,554,553,136,7180
2019-05-25,2000.0,3.0,21.0,1,424,418,92,5327
2019-05-26,2000.0,3.0,2.0,1,292,289,99,2498
2019-05-27,2000.0,3.0,15.0,0,429,431,131,5145
2019-05-28,2000.0,3.0,22.0,0,731,764,311,6981
2019-05-29,2000.0,3.0,16.0,0,719,758,269,8886
2019-05-30,2000.0,3.0,4.0,0,465,484,162,5296
2019-05-31,2000.0,3.0,16.0,0,369,390,137,4514
2019-06-01,2000.0,3.0,3.0,1,274,284,85,2553
2019-06-02,2000.0,3.0,18.0,1,319,327,104,3810
2019-06-03,2000.0,3.0,9.0,0,501,522,194,5311
2019-06-04,2000.0,3.0,18.0,0,419,439,146,3771
2019-06-05,2000.0,3.0,1.0,0,413,410,155,4235
2019-06-06,2000.0,3.0,23.0,0,286,300,98,2780
2019-06-07,2000.0,3.0,30.0,0,324,341,118,3270
2019-06-08,2000.0,3.0,6.0,1,286,291,115,2820
2019-06-09,2000.0,3.0,5.0,1,335,344,118,3696
2019-06-10,2000.0,3.0,13.0,0,469,472,163,5086
2019-06-11,2000.0,3.0,18.0,0,448,455,167,3993
2019-06-12,2000.0,3.0,13.0,0,650,663,280,4938
2019-06-13,2000.0,3.0,31.0,0,525,537,231,4516
2019-06-14,2000.0,3.0,47.0,0,465,465,168,4589
2019-06-15,2000.0,3.0,8.0,1,314,324,120,3108
2019-06-16,2000.0,3.0,5.0,1,292,291,99,2652
2019-06-17,2000.0,3.0,32.0,0,385,391,156,3254
2019-06-18,2000.0,3.0,42.0,0,488,517,195,4723
2019-06-19,2000.0,3.0,56.0,0,470,467,174,4979
2019-06-20,2000.0,3.0,63.0,0,420,413,150,4418
2019-06-21,2000.0,3.0,118.0,0,460,457,130,5221
2019-06-22,2000.0,3.0,21.0,1,337,340,89,3008
2019-06-23,2000.0,3.0,0.0,1,302,298,99,2483
2019-06-24,2000.0,3.0,0.0,0,417,427,158,4331
2019-06-25,2000.0,3.0,0.0,0,370,374,136,3471
2019-06-26,2000.0,3.0,0.0,0,363,377,123,3319
2019-06-27,2000.0,3.0,0.0,0,359,354,124,3600
2019-06-28,2000.0,3.0,0.0,0,337,341,112,3331
2019-06-29,2000.0,3.0,0.0,1,273,255,72,3119
2019-06-30,2000.0,3.0,0.0,1,266,260,67,2225
2019-07-01,2000.0,3.0,0.0,0,428,442,181,3785
2019-07-02,2000.0,3.0,0.0,0,422,438,129,4157
2019-07-03,2000.0,3.0,0.0,0,412,432,98,4913
2019-07-04,2000.0,3.0,2.0,0,625,632,232,4693
2019-07-05,2000.0,3.0,6.0,0,596,600,175,5950
2019-07-06,2000.0,3.5,2.0,1,526,540,140,5309
2019-07-07,2000.0,3.5,5.0,1,422,453,86,5374
2019-07-08,2000.0,3.5,14.0,0,505,545,105,6402
2019-07-09,1000.0,2.0,17.0,0,502,514,168,6649
2019-07-10,1000.0,2.0,13.0,0,482,518,125,7941
2019-07-11,1200.0,3.0,16.0,0,644,658,184,11018
2019-07-12,1200.0,3.0,3.0,0,618,617,252,9431
2019-07-13,1200.0,3.0,4.0,1,349,365,91,5035
2019-07-14,1200.0,3.0,25.0,1,327,348,76,4676
2019-07-15,1200.0,3.0,51.0,0,480,497,127,7736
2019-07-16,1200.0,3.5,37.0,0,420,453,111,6667
2019-07-17,1200.0,4.0,43.0,0,452,463,97,7549
2019-07-18,1200.0,4.0,90.0,0,513,523,117,8601
2019-07-19,400.0,2.5,81.0,0,504,508,128,9277
2019-07-20,200.0,1.0,40.0,1,364,391,93,4882
2019-07-21,200.0,1.0,32.0,1,321,329,82,4181
2019-07-22,200.0,1.0,72.0,0,530,536,170,9514
2019-07-23,200.0,1.0,89.0,0,615,610,158,10947
2019-07-24,200.0,1.0,104.0,0,646,669,242,8700
2019-07-25,200.0,1.0,124.0,0,517,527,126,7693
2019-07-26,200.0,1.0,155.0,0,522,515,123,8240
2019-07-27,200.0,1.0,34.0,1,301,316,72,4433
2019-07-28,200.0,1.0,27.0,1,295,302,65,4712
2019-07-29,200.0,1.0,34.0,0,405,445,87,6504
2019-07-30,200.0,1.0,24.0,0,593,632,186,8594
2019-07-31,200.0,1.0,30.0,0,445,453,88,6748
2019-08-01,200.0,1.0,26.0,0,376,379,87,5733
2019-08-02,200.0,1.0,34.0,0,319,338,64,3742
2019-08-03,200.0,1.0,24.0,1,241,252,66,2877
2019-08-04,200.0,1.0,46.0,1,319,336,78,4650
2019-08-05,200.0,1.0,46.0,0,470,486,120,6349
2019-08-06,200.0,1.0,30.0,0,421,445,94,6898
2019-08-07,200.0,1.0,43.0,0,423,433,78,7384
2019-08-08,200.0,1.0,41.0,0,480,479,89,8911
2019-08-09,200.0,1.0,21.0,0,424,431,118,6271
2019-08-10,200.0,1.0,113.0,1,344,379,76,5820
2019-08-11,200.0,1.0,38.0,1,320,338,151,3783
2019-08-12,200.0,1.0,62.0,0,424,474,118,7714
2019-08-13,200.0,1.0,116.0,0,488,524,114,9245
2019-08-14,200.0,1.0,63.0,0,362,371,88,6976
2019-08-15,200.0,1.0,30.0,0,218,225,51,3090
2019-08-16,200.0,1.0,38.0,0,444,459,189,6478
2019-08-17,200.0,1.0,27.0,1,329,338,113,3991
2019-08-18,200.0,1.0,33.0,1,244,248,66,3394
2019-08-19,200.0,1.0,36.0,0,592,610,267,6321
2019-08-20,200.0,1.0,58.0,0,507,523,179,5725
2019-08-21,200.0,1.0,36.0,0,407,429,117,5370
2019-08-22,200.0,1.0,55.0,0,357,373,96,5244
2019-08-23,200.0,1.0,45.0,0,309,327,91,4573
2019-08-24,200.0,1.0,41.0,1,221,232,65,2787
2019-08-25,200.0,1.0,32.0,1,348,366,113,4444
2019-08-26,200.0,1.0,48.0,0,406,416,110,6024
2019-08-27,200.0,1.0,51.0,0,727,741,297,8904
2019-08-28,200.0,1.0,76.0,0,461,464,115,6012
2019-08-29,200.0,1.0,59.0,0,429,434,99,6065
2019-08-30,200.0,1.0,44.0,0,438,433,87,8176
2019-08-31,200.0,1.0,30.0,1,206,216,35,3144
2019-09-01,200.0,1.0,36.0,1,222,235,57,3167
2019-09-02,200.0,1.0,45.0,0,441,471,131,7531
2019-09-03,200.0,1.0,31.0,0,349,370,84,6320
2019-09-04,200.0,1.0,72.0,0,369,394,109,5736
2019-09-05,200.0,1.0,66.0,0,406,435,108,5916
2019-09-06,200.0,1.0,3.0,0,277,294,69,3340
2019-09-07,200.0,1.0,6.0,1,219,226,49,3259
2019-09-08,200.0,1.0,6.0,1,178,187,52,1956
2019-09-09,200.0,1.0,5.0,0,363,391,116,5483
2019-09-10,200.0,1.0,3.0,0,269,275,84,3626
2019-09-11,200.0,1.0,4.0,0,182,187,57,2716
2019-09-12,200.0,1.0,7.0,1,419,417,256,2905
2019-09-13,200.0,1.0,3.0,1,327,341,176,2950
2019-09-14,200.0,1.0,2.0,1,174,177,72,1270
2019-09-15,200.0,1.0,10.0,1,218,235,92,2768
2019-09-16,200.0,1.0,13.0,0,505,517,201,7699
2019-09-17,200.0,1.0,17.0,0,515,541,179,7960
2019-09-18,200.0,1.0,24.0,0,515,527,197,6044
2019-09-19,200.0,1.0,14.0,0,437,482,169,5474
2019-09-20,200.0,1.0,21.0,0,292,297,101,4033
2019-09-21,200.0,1.0,7.0,1,164,171,58,1947
2019-09-22,200.0,1.0,1.0,1,160,159,43,1930
2019-09-23,200.0,1.0,26.0,0,299,307,77,3903
2019-09-24,200.0,1.0,8.0,0,686,750,343,9150
2019-09-25,200.0,1.0,18.0,0,928,1085,449,13151
2019-09-26,200.0,1.0,14.0,0,557,639,236,8696
2019-09-27,200.0,1.0,2.0,0,530,562,190,7234
2019-09-28,200.0,1.0,11.0,1,278,321,94,2986
2019-09-29,200.0,1.0,0.0,1,306,340,129,4249
2019-09-30,200.0,1.0,32.0,0,786,939,350,10565
2019-10-01,800.0,2.0,20.0,0,963,1135,360,13001
2019-10-02,800.0,2.0,23.0,0,722,792,217,11477
2019-10-03,800.0,2.0,20.0,1,452,507,137,6135
2019-10-04,800.0,2.0,17.0,0,720,763,254,11152
2019-10-05,800.0,2.0,52.0,1,622,670,273,8142
2019-10-06,800.0,2.0,19.0,1,505,571,181,7417
2019-10-07,800.0,2.0,23.0,0,889,976,289,14473
2019-10-08,800.0,2.0,35.0,0,765,834,218,12226
2019-10-09,800.0,2.0,27.0,1,457,497,109,6924
2019-10-10,800.0,2.0,37.0,0,686,765,184,11133
2019-10-11,800.0,2.0,32.0,0,591,631,133,10898
2019-10-12,800.0,2.0,26.0,1,483,513,192,6529
2019-10-13,800.0,2.0,27.0,1,342,368,88,5197
2019-10-14,800.0,2.0,32.0,0,713,769,185,11501
2019-10-15,800.0,2.0,30.0,0,719,745,212,9165
2019-10-16,800.0,2.0,34.0,0,596,589,141,10357
2019-10-17,800.0,2.0,39.0,0,531,559,104,7729
2019-10-18,800.0,2.0,29.0,0,519,538,123,8141
2019-10-19,800.0,2.5,37.0,1,284,289,63,4017
2019-10-20,800.0,2.5,47.0,1,327,345,64,5431
2019-10-21,800.0,2.5,53.0,0,572,604,120,8657
2019-10-22,600.0,1.0,60.0,0,769,797,273,11471
2019-10-23,600.0,1.0,61.0,0,682,704,207,11283
2019-10-24,600.0,1.0,61.0,0,520,552,116,8650
2019-10-25,600.0,1.5,60.0,0,582,606,131,10676
2019-10-26,600.0,1.5,81.0,1,438,464,73,8029
2019-10-27,600.0,1.5,104.0,1,529,559,89,10772
2019-10-28,0.0,0.0,14.0,0,616,629,148,12957
